,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum,PDRB_ADHK_YoY,PDRB_ADHB_YoY,PDRBK_ADHK_YoY,PDRBK_ADHB_YoY,PDRB_ADHK_Pct,PDRB_ADHB_Pct,PDRBK_ADHK_Pct,PDRBK_ADHB_Pct
164,Kalimantan Tengah,2020,71.05,1.68,4.82,57145.08,37148.73,152187.39,98933.61,4.58,2903145.0,-1.4107523830014124,1.4270880749316373,-1.905812101090898,0.9177863353853066,75.00765066683745,169.21040872781,45.938546575237545,124.49407877808139
165,Kalimantan Timur,2010,75.56,6.96,7.66,116946.31,116946.31,418211.58,418211.58,10.1,1002000.0,,,,,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
166,Kalimantan Timur,2011,76.22,3.79,6.77,140229.63,121196.23,515191.48,445264.42,11.43,1084000.0,6.46869701695012,23.18919528722756,3.634077894377352,19.9094097111743,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
167,Kalimantan Timur,2012,72.62,4.3,6.68,145998.48,124501.88,550735.76,469646.25,9.02,1177000.0,5.475809183226454,6.899236765328509,2.727518834538012,4.113859531683861,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
168,Kalimantan Timur,2013,73.21,8.38,6.38,158472.71,133868.68,519131.87,438532.91,7.95,1752073.0,-6.624845828109994,-5.738485185708663,7.523420529874714,8.544082102772554,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
169,Kalimantan Timur,2014,73.82,8.36,6.31,157399.96,133086.11,527515.26,446029.05,7.38,1886315.0,1.7093677188332324,1.6148864064153834,-0.5845803514309744,-0.6769304317443714,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
170,Kalimantan Timur,2015,74.17,3.35,6.1,147405.43,128603.13,505105.06,440676.36,7.5,2026126.0,-1.2000765420996706,-4.24825624949694,-3.3684807527998073,-6.349766543778024,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
171,Kalimantan Timur,2016,74.59,3.02,6.0,145343.19,125385.5,508880.24,439003.83,7.95,2161253.0,-0.37953703711267606,0.7474049062189181,-2.5019842052055874,-1.3990258025094349,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
172,Kalimantan Timur,2017,75.12,3.61,6.08,165546.62,126625.19,591903.49,452741.91,6.91,2339556.0,3.1293758872217525,16.314889727296155,0.988702840440081,13.900499913343033,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
173,Kalimantan Timur,2018,75.83,3.13,6.06,174164.82,127354.19,635498.68,464694.43,6.41,2543332.0,2.6400295037850574,7.365253075294431,0.5757148320961969,5.205905140195566,12.955583391545494,45.31986177905451,7.540400376890901,38.353104086824125
